name,class
ピルスナー,ラガー
ペールエール,エール
ベルジャンホワイト,エール
スタウト,エール
IPA,エール
アンバーエール,エール
フルーツビール,その他
リアルエール,エール
バーレイワイン,エール
サワーエール,その他
ゴールデンエール,エール
ヴァイツェン,エール
セゾンビール,エール
シュバルツ,ラガー
ラオホ,その他
ランビック,ランビック
